Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Chutes do adv.,Chutes do adv. no gol,Gols sofridos,Defesas,"Defesas, %",Defesas difíceis,Cruzamentos do adversário,Tentativas de interceptação de cruzesamento e passe,Tentativas bem-sucedidas de interceptação de cruzamento e passe,"Tentativas bem-sucedidas de interceptação de cruzamento e passe, %",Participação em ataques de pontuação,Passes,Passes precisos,Passes precisos %,Passes chave,Passes chave precisos,Cartões amarelos,Cartões vermelhos,Faltas,Ações totais,Ações / com sucesso,Ações / com sucesso %,Erros graves,Falhas em gols
João Bravim,Futebol Clube De Alverca,27,1998-05-03,192,Direita,"Brazil, Italy",€125K,2021-06-30,GK,2024/2025,183,34,3374,421,151,33,106,76%,5,434,29,21,72%,2,933,690,74%,-,-,4,-,2,1247,954,77%,-,-
Bernardo,Tondela,22,2002-07-23,196,Canhoto,"Brazil, Italy",-,2022-06-30,GK,2024/2025,182,34,3368,350,122,35,82,70%,6,360,21,12,57%,3,955,678,71%,-,-,2,-,-,1217,891,73%,1,1
David Allen Grilo,CF Os Belenenses,28,1996-08-13,184,Direita,Portugal,€225K,2022-06-30,GK,2024/2025,182,34,3344,338,131,33,88,73%,34,659,49,47,96%,1,1031,917,89%,1,1,3,-,1,1624,1465,90%,7,6
Bruno Pinto,Futebol Clube De Felgueiras,32,1992-06-09,184,-,Portugal,-,2020-06-30,GK,2024/2025,183,32,3173,323,118,34,76,69%,2,320,15,13,87%,1,870,557,64%,-,-,1,-,-,1096,746,68%,-,-
Pawel Kieszek,Uniao Desportiva Leiria,41,1984-04-16,187,Direita,Poland,€50K,2022-06-30,GK,2024/2025,181,32,3172,408,140,34,95,74%,5,346,9,7,78%,2,991,768,78%,-,-,3,-,-,1229,964,78%,2,2
Vozinha,Chaves,39,1986-06-03,194,Direita,Cape Verde,€75K,2022-05-31,GK,2024/2025,177,32,3132,366,123,32,85,73%,2,335,16,14,88%,-,1163,894,77%,-,-,3,1,1,1431,1120,78%,3,2
André Gomes,Benfica II,20,2004-10-20,182,Canhoto,Portugal,€1.8M,2024-06-30,GK,2024/2025,178,31,3079,421,140,37,95,72%,2,345,22,16,73%,1,1164,880,76%,-,-,1,-,-,1419,1091,77%,1,1
Gonçalo Tabuaço,Maritimo,24,2001-03-11,188,Direita,Portugal,€400K,2023-06-30,GK,2024/2025,177,31,3071,344,132,42,86,67%,5,295,15,9,60%,-,946,668,71%,1,1,5,-,1,1241,910,73%,1,1
Martin Fraisl,Mafra,32,1993-05-10,188,Direita,Austria,€500K,-,GK,2024/2025,169,31,3066,388,127,50,75,60%,1,320,11,8,73%,1,1066,747,70%,-,-,3,-,-,1313,933,71%,3,2
Bruno Brígido,Academico Viseu,34,1991-03-09,187,Direita,Brazil,€300K,2022-06-30,GK,2024/2025,176,30,2926,351,134,45,81,64%,8,336,15,8,53%,-,932,650,70%,2,1,-,-,-,1184,846,71%,1,1
Silas Bjerre,Torreense U23,20,2005-02-18,,-,Denmark,-,-,GK,2024/2025,175,29,2736,302,113,22,78,78%,19,406,33,31,94%,1,892,739,83%,1,-,2,1,1,1443,1252,87%,9,5
Manuel Baldé,Penafiel,22,2002-11-14,,Direita,"Guinea-Bissau, Portugal",€100K,2024-06-30,GK,2024/2025,177,28,2713,387,131,35,84,71%,3,394,19,14,74%,1,774,498,64%,-,-,4,-,-,1026,699,68%,3,2
João Costa,Feirense,29,1996-02-02,186,Direita,Portugal,€275K,2022-06-30,GK,2024/2025,182,27,2654,314,97,20,71,78%,1,309,5,3,60%,-,943,631,67%,1,1,-,-,-,1104,767,69%,-,-
Marafona,Pacos Ferreira,38,1987-05-08,,-,Portugal,-,-,GK,2024/2025,176,26,2604,357,112,38,71,65%,5,344,10,3,30%,2,749,535,71%,1,1,2,1,-,954,692,73%,-,-
Vinícius,Portimonense SC,31,1994-03-28,195,Direita,Brazil,€1.5M,2024-12-31,GK,2024/2025,172,27,2603,370,122,36,74,67%,3,328,19,10,53%,-,757,527,70%,-,-,1,-,1,984,701,71%,3,2
Dani Figueira,Estoril,26,1998-07-20,189,Direita,Portugal,€1.2M,2024-06-30,GK,2024/2025,174,26,2567,333,118,32,79,71%,1,301,11,5,45%,-,805,578,72%,-,-,2,-,1,1011,740,73%,2,2
Lucas Paes,Sport Clube Uniao Torreense,27,1997-12-07,193,Direita,Brazil,€200K,2024-06-30,GK,2024/2025,176,23,2312,268,111,30,73,71%,4,226,5,4,80%,1,812,587,72%,-,-,3,-,-,999,740,74%,2,1
Ruly Garcia,RC Celta De Vigo B,25,2000-01-27,188,Canhoto,Spain,€100K,2022-06-30,GK,2024/2025,177,23,2241,259,85,15,62,81%,-,187,16,4,25%,1,897,702,78%,-,-,3,-,1,1073,837,78%,-,-
Domen Gril,Academico Viseu,23,2001-06-10,187,Direita,Slovenia,€600K,2026-06-30,GK,2024/2025,183,18,1777,251,76,22,54,71%,5,255,15,11,73%,-,585,428,73%,-,-,3,-,-,774,589,76%,1,1
Federico Gomes,Academico Viseu U23,21,2004-03-05,,-,Argentina,€500K,-,GK,2024/2025,167,16,1572,167,69,23,42,65%,14,215,16,15,94%,-,600,514,86%,-,-,2,-,-,838,724,86%,3,3
Lucas Canizares,Farense U23,23,2002-05-10,188,Direita,Spain,€400K,2023-06-30,GK,2024/2025,165,15,1478,177,57,20,34,63%,-,133,7,4,57%,1,538,374,70%,-,-,2,-,-,647,458,71%,-,-
Gonçalo Ribeiro,Porto II,19,2006-01-15,,-,Portugal,-,-,GK,2024/2025,171,14,1392,160,58,22,32,59%,1,161,9,2,22%,-,422,297,70%,-,-,1,-,-,555,398,72%,-,-
Nuno Macedo,Uniao Desportiva Oliveirense,26,1999-05-29,184,Direita,Portugal,€175K,2023-06-30,GK,2024/2025,168,14,1311,186,77,28,43,61%,4,169,5,3,60%,1,470,390,83%,-,-,-,-,-,622,508,82%,1,1
Mark Ugboh,Mafra U23,21,2004-01-03,191,-,Nigeria,€200K,-,GK,2024/2025,173,12,1183,127,56,14,42,75%,13,158,16,15,94%,-,447,385,86%,1,1,-,-,-,660,581,88%,-,-
Matheus Sampaio,Academico Viseu U23,20,2004-09-01,,-,Brazil,-,-,GK,2024/2025,165,12,1173,150,57,13,39,75%,7,182,15,12,80%,-,439,371,85%,-,-,1,-,-,594,505,85%,3,2
Ricardo Ribeiro,Leixoes,35,1990-01-27,184,Direita,Portugal,€75K,2020-06-30,GK,2024/2025,170,12,1098,161,48,16,28,64%,-,128,2,1,50%,-,357,217,61%,-,-,1,-,-,434,274,63%,-,-
Diogo Fernandes,Porto II,20,2005-02-17,181,Direita,Portugal,-,-,GK,2024/2025,167,10,993,107,45,17,25,60%,4,116,5,2,40%,-,287,202,70%,-,-,-,-,-,383,277,72%,3,3
Samuel Portugal,FC Porto,31,1994-03-29,188,Canhoto,Brazil,€1.5M,2025-06-30,GK,2024/2025,173,10,983,123,36,8,26,76%,-,99,11,8,73%,1,368,246,67%,-,-,1,-,2,446,310,70%,-,-
Arthur Augusto,Uniao Desportiva Oliveirense,25,1999-08-29,192,Direita,Brazil,€300K,2022-06-30,GK,2024/2025,164,10,937,140,49,20,26,57%,-,123,3,1,33%,-,332,240,72%,-,-,1,-,2,403,288,71%,-,-
Jeimes,Pacos Ferreira,24,2001-04-28,188,-,Brazil,-,-,GK,2024/2025,166,10,917,128,40,14,23,62%,-,78,7,3,43%,-,325,204,63%,-,-,-,-,-,398,258,65%,-,-
Igor Stefanovic,Leixoes,37,1988-04-12,192,Direita,Serbia,-,2021-06-30,GK,2024/2025,173,9,899,113,40,14,24,63%,2,138,13,8,62%,-,264,190,72%,-,-,1,-,-,387,292,75%,1,1
Miguel Angel Angel Morro,FC Vizela U23,24,2000-09-11,193,Canhoto,Spain,€600K,2023-06-30,GK,2024/2025,180,8,748,81,34,8,20,71%,5,93,4,4,100%,1,271,215,79%,-,-,-,-,-,346,282,82%,-,-
Leandro Matheus,Sport Clube Uniao Torreense,24,2001-01-28,,-,Brazil,-,-,GK,2024/2025,184,6,602,71,24,5,19,79%,3,76,6,6,100%,1,198,131,66%,1,-,1,1,2,271,197,73%,2,1
Philip Tear,Portimonense U23,26,1998-08-26,187,-,"Spain, Sweden",€150K,2023-06-30,GK,2024/2025,171,5,486,63,24,9,13,59%,2,59,4,4,100%,-,142,116,82%,-,-,-,-,-,226,186,82%,-,-
Francesco Ruberto,Vizela,32,1993-03-19,185,Direita,"Switzerland, Italy",€200K,2023-06-30,GK,2024/2025,179,5,440,54,19,7,9,56%,1,67,2,2,100%,-,164,142,87%,-,-,-,-,-,209,179,86%,1,-
Miguel Oliveira,Penafiel,31,1994-05-25,196,Direita,Portugal,€200K,2022-06-30,GK,2024/2025,165,4,411,54,22,9,12,57%,-,60,1,-,0%,-,101,81,80%,-,-,-,-,-,132,101,77%,-,-
Thiago Silva,FC Arouca,28,1996-06-12,185,Direita,Brazil,€200K,2023-06-30,GK,2024/2025,167,4,404,64,22,7,13,65%,-,41,3,2,67%,-,150,106,71%,-,-,-,-,-,178,126,71%,-,-
Samuel Soares,SL Benfica,22,2002-06-15,190,Direita,Portugal,€3M,2025-06-30,GK,2024/2025,214,3,298,30,9,-,9,100%,1,34,4,3,75%,-,69,63,91%,-,-,-,-,-,91,84,92%,-,-
Pedro Mateus,Feirense,28,1996-09-27,189,Canhoto,Portugal,€275K,2021-06-30,GK,2024/2025,159,3,293,39,16,6,5,45%,-,29,2,1,50%,-,106,64,60%,-,-,1,-,-,128,78,61%,-,-
Kosuke Nakamura,Portimonense SC,30,1995-02-27,185,Direita,Japan,€700K,2023-06-30,GK,2024/2025,183,3,292,35,15,6,7,54%,2,50,6,4,67%,-,72,59,82%,-,-,-,-,-,111,90,81%,-,-
Samu,Maritimo,26,1999-05-12,188,Direita,"Portugal, France",€450K,2024-06-30,GK,2024/2025,168,3,290,33,11,6,5,45%,-,18,2,1,50%,-,78,71,91%,-,-,-,-,-,97,83,86%,-,-
Filipe Ferreira,Penafiel,28,1996-09-20,193,Direita,Portugal,€100K,2023-06-30,GK,2024/2025,176,3,288,35,15,3,11,79%,-,34,1,1,100%,-,90,64,71%,1,-,-,-,-,116,87,75%,-,-
Cristiano,-,34,1990-11-29,195,Direita,"Portugal, Germany",€200K,2022-06-30,GK,2024/2025,-,2,200,13,7,4,3,43%,-,13,1,1,100%,-,40,31,78%,-,-,-,-,-,51,38,75%,-,-
Pedro Souza,Benfica II,22,2002-06-29,,-,"Portugal, Brazil",€250K,2023-06-30,GK,2024/2025,-,2,199,15,3,1,2,67%,-,23,2,2,100%,-,45,39,87%,-,-,-,-,-,57,50,88%,-,-
Rodrigo Moura,Chaves,29,1996-01-25,198,Direita,Brazil,€300K,2024-06-30,GK,2024/2025,-,2,189,26,10,2,8,80%,-,26,-,-,-,-,65,48,74%,-,-,-,-,-,83,64,77%,-,-
Fábio Ferreira,Uniao Desportiva Leiria,27,1998-05-29,185,Direita,"Portugal, Switzerland",€150K,2022-06-30,GK,2024/2025,-,2,188,29,13,3,9,75%,-,14,-,-,-,-,66,57,86%,-,-,-,-,-,84,72,86%,-,-
Miguel Angel Morro Munoz,Vizela,,-,,-,Spain,-,-,GK,2024/2025,-,1,95,9,4,-,4,100%,2,28,2,2,100%,-,45,43,96%,-,-,1,-,-,74,72,97%,-,-
Zé Pedro,Pacos Ferreira,23,2002-04-06,186,Direita,Portugal,€100K,2022-06-30,GK,2024/2025,-,1,77,10,6,-,5,100%,-,5,-,-,-,-,22,14,64%,-,-,-,-,-,28,19,68%,-,-
Pedro Silva,Futebol Clube De Alverca,28,1997-02-13,189,Direita,Portugal,€300K,2024-06-30,GK,2024/2025,-,1,17,3,2,1,1,50%,-,2,-,-,-,-,4,3,75%,-,-,-,-,-,6,4,67%,-,-
Marcos Vinicius,Uniao Desportiva Leiria,22,2002-12-29,,-,Brazil,-,-,GK,2024/2025,-,1,7,-,-,-,-,-,-,1,-,-,-,-,2,1,50%,-,-,-,-,-,2,1,50%,-,-
João Cardoso,Famalicao U23,21,2004-02-16,,-,Portugal,-,-,GK,2024/2025,-,1,5,1,-,-,-,-,-,-,-,-,-,-,3,3,100%,-,-,-,-,-,3,3,100%,-,-
